datetime,device_name,frequency,humidity,latitude,longitude,network,pm10,pm10_calibrated_value,pm2_5,pm2_5_calibrated_value,site_name,temperature
2023-12-10 00:00:00,dos-lagos,hourly,,6.440483,3.406815,metone,,,15.0,15.0,Lagos,
2023-12-10 01:00:00,dos-lagos,hourly,,6.440483,3.406815,metone,,,14.2,14.2,Lagos,
2023-12-10 02:00:00,dos-lagos,hourly,,6.440483,3.406815,metone,,,14.1,14.1,Lagos,
2023-12-10 04:00:00,dos-lagos,hourly,,6.440483,3.406815,metone,,,14.0,14.0,Lagos,
2023-12-10 05:00:00,dos-lagos,hourly,,6.440483,3.406815,metone,,,14.3,14.3,Lagos,
2023-12-10 08:00:00,dos-lagos,hourly,,6.440483,3.406815,metone,,,45.5,45.5,Lagos,
2023-12-10 11:00:00,dos-lagos,hourly,,6.440483,3.406815,metone,,,22.2,22.2,Lagos,
2023-12-10 12:00:00,dos-lagos,hourly,,6.440483,3.406815,metone,,,19.2,19.2,Lagos,
2023-12-10 13:00:00,dos-lagos,hourly,,6.440483,3.406815,metone,,,18.1,18.1,Lagos,
2023-12-10 14:00:00,dos-lagos,hourly,,6.440483,3.406815,metone,,,16.1,16.1,Lagos,
2023-12-10 15:00:00,dos-lagos,hourly,,6.440483,3.406815,metone,,,15.2,15.2,Lagos,
2023-12-10 16:00:00,dos-lagos,hourly,,6.440483,3.406815,metone,,,14.7,14.7,Lagos,
2023-12-10 18:00:00,dos-lagos,hourly,,6.440483,3.406815,metone,,,15.2,15.2,Lagos,
2023-12-10 20:00:00,dos-lagos,hourly,,6.440483,3.406815,metone,,,15.2,15.2,Lagos,
2023-12-10 23:00:00,dos-lagos,hourly,,6.440483,3.406815,metone,,,14.5,14.5,Lagos,
2023-12-11 00:00:00,dos-lagos,hourly,,6.440483,3.406815,metone,,,14.2,14.2,Lagos,
2023-12-11 01:00:00,dos-lagos,hourly,,6.440483,3.406815,metone,,,14.5,14.5,Lagos,
2023-12-11 02:00:00,dos-lagos,hourly,,6.440483,3.406815,metone,,,14.8,14.8,Lagos,
2023-12-11 05:00:00,dos-lagos,hourly,,6.440483,3.406815,metone,,,34.5,34.5,Lagos,
