datetime,device_name,frequency,humidity,latitude,longitude,network,pm10,pm10_calibrated_value,pm2_5,pm2_5_calibrated_value,site_name,temperature
2024-04-03 19:00:00,aq_g5_120,hourly,68.95083333333334,0.0,0.0,airqo,22.99,22.99,21.61,21.61,"Ita Elewa Primary HealthCare Centre, Ikorodu",32.373333333333335
2024-04-03 21:00:00,aq_g5_120,hourly,71.9347619047619,0.0,0.0,airqo,85.9,85.9,64.26,64.26,"Ita Elewa Primary HealthCare Centre, Ikorodu",31.724761904761905
2024-04-04 01:00:00,aq_g5_120,hourly,73.78142857142858,0.0,0.0,airqo,2.86,2.86,13.41,13.41,"Ita Elewa Primary HealthCare Centre, Ikorodu",30.89333333333333
2024-04-04 07:00:00,aq_g5_120,hourly,67.10666666666667,0.0,0.0,airqo,8.74,8.74,14.51,14.51,"Ita Elewa Primary HealthCare Centre, Ikorodu",36.41866666666667
2024-04-04 19:00:00,aq_g5_120,hourly,66.30142857142857,0.0,0.0,airqo,11.17,11.17,12.8,12.8,"Ita Elewa Primary HealthCare Centre, Ikorodu",33.98285714285714
2024-04-05 06:00:00,aq_g5_120,hourly,73.22619047619048,0.0,0.0,airqo,14.72,14.72,14.89,14.89,"Ita Elewa Primary HealthCare Centre, Ikorodu",32.76047619047619
2024-04-05 19:00:00,aq_g5_120,hourly,70.95428571428572,0.0,0.0,airqo,8.65,8.65,14.78,14.78,"Ita Elewa Primary HealthCare Centre, Ikorodu",32.480952380952374
2024-04-06 03:00:00,aq_g5_120,hourly,74.78636363636363,0.0,0.0,airqo,,,11.96,11.96,"Ita Elewa Primary HealthCare Centre, Ikorodu",32.055
2024-04-06 07:00:00,aq_g5_120,hourly,66.55157894736843,0.0,0.0,airqo,33.36,33.36,25.47,25.47,"Ita Elewa Primary HealthCare Centre, Ikorodu",37.492105263157896
2024-04-06 09:00:00,aq_g5_120,hourly,63.14,0.0,0.0,airqo,8.97,8.97,14.25,14.25,"Ita Elewa Primary HealthCare Centre, Ikorodu",35.825
2024-04-06 19:00:00,aq_g5_120,hourly,74.34818181818183,0.0,0.0,airqo,16.96,16.96,16.08,16.08,"Ita Elewa Primary HealthCare Centre, Ikorodu",31.77
2024-04-07 02:00:00,aq_g5_120,hourly,78.00857142857143,0.0,0.0,airqo,37.09,37.09,35.3,35.3,"Ita Elewa Primary HealthCare Centre, Ikorodu",29.65619047619048
2024-04-07 06:00:00,aq_g5_120,hourly,76.75238095238095,0.0,0.0,airqo,35.85,35.85,31.24,31.24,"Ita Elewa Primary HealthCare Centre, Ikorodu",31.108571428571427
2024-04-07 19:00:00,aq_g5_120,hourly,69.172,0.0,0.0,airqo,9.22,9.22,11.41,11.41,"Ita Elewa Primary HealthCare Centre, Ikorodu",33.5505
2024-04-08 03:00:00,aq_g5_120,hourly,75.15,0.0,0.0,airqo,9.12,9.12,16.64,16.64,"Ita Elewa Primary HealthCare Centre, Ikorodu",29.469047619047625
2024-04-08 08:00:00,aq_g5_120,hourly,67.0855,0.0,0.0,airqo,24.14,24.14,18.91,18.91,"Ita Elewa Primary HealthCare Centre, Ikorodu",33.917500000000004
2024-04-08 19:00:00,aq_g5_120,hourly,67.5355,0.0,0.0,airqo,20.09,20.09,19.42,19.42,"Ita Elewa Primary HealthCare Centre, Ikorodu",32.417
2024-04-09 03:00:00,aq_g5_120,hourly,73.83714285714285,0.0,0.0,airqo,41.83,41.83,36.53,36.53,"Ita Elewa Primary HealthCare Centre, Ikorodu",30.804761904761904
2024-04-09 07:00:00,aq_g5_120,hourly,69.04083333333334,0.0,0.0,airqo,28.19,28.19,23.42,23.42,"Ita Elewa Primary HealthCare Centre, Ikorodu",35.020833333333336
2024-04-09 20:00:00,aq_g5_120,hourly,71.53666666666666,0.0,0.0,airqo,11.04,11.04,14.97,14.97,"Ita Elewa Primary HealthCare Centre, Ikorodu",32.09428571428572
2024-04-10 00:00:00,aq_g5_120,hourly,74.50800000000001,0.0,0.0,airqo,13.64,13.64,13.04,13.04,"Ita Elewa Primary HealthCare Centre, Ikorodu",31.791
2024-04-10 02:00:00,aq_g5_120,hourly,75.9470588235294,0.0,0.0,airqo,10.27,10.27,15.58,15.58,"Ita Elewa Primary HealthCare Centre, Ikorodu",31.814117647058826
2024-04-10 18:00:00,aq_g5_120,hourly,68.56,0.0,0.0,airqo,23.69,23.69,24.04,24.04,"Ita Elewa Primary HealthCare Centre, Ikorodu",33.2675
2024-04-10 20:00:00,aq_g5_120,hourly,68.9515,0.0,0.0,airqo,16.01,16.01,20.3,20.3,"Ita Elewa Primary HealthCare Centre, Ikorodu",30.138
2024-04-10 22:00:00,aq_g5_120,hourly,72.104,0.0,0.0,airqo,24.84,24.84,23.57,23.57,"Ita Elewa Primary HealthCare Centre, Ikorodu",29.423
2024-04-11 19:00:00,aq_g5_120,hourly,67.713,0.0,0.0,airqo,11.28,11.28,16.32,16.32,"Ita Elewa Primary HealthCare Centre, Ikorodu",33.1445
2024-04-11 21:00:00,aq_g5_120,hourly,69.873,0.0,0.0,airqo,7.94,7.94,14.93,14.93,"Ita Elewa Primary HealthCare Centre, Ikorodu",32.737
2024-04-12 04:00:00,aq_g5_120,hourly,74.57380952380952,0.0,0.0,airqo,,,11.16,11.16,"Ita Elewa Primary HealthCare Centre, Ikorodu",31.74904761904762
2024-04-12 19:00:00,aq_g5_120,hourly,62.96333333333333,0.0,0.0,airqo,12.65,12.65,18.35,18.35,"Ita Elewa Primary HealthCare Centre, Ikorodu",33.49857142857143
2024-04-13 19:00:00,aq_g5_120,hourly,67.28299999999999,0.0,0.0,airqo,11.14,11.14,12.29,12.29,"Ita Elewa Primary HealthCare Centre, Ikorodu",33.5835
2024-04-14 02:00:00,aq_g5_120,hourly,75.23285714285714,0.0,0.0,airqo,18.14,18.14,15.26,15.26,"Ita Elewa Primary HealthCare Centre, Ikorodu",30.99142857142857
2024-04-14 06:00:00,aq_g5_120,hourly,73.28857142857143,0.0,0.0,airqo,21.23,21.23,19.1,19.1,"Ita Elewa Primary HealthCare Centre, Ikorodu",31.53428571428572
2024-04-14 10:00:00,aq_g5_120,hourly,70.1347619047619,0.0,0.0,airqo,35.02,35.02,28.61,28.61,"Ita Elewa Primary HealthCare Centre, Ikorodu",30.45238095238096
2024-04-14 12:00:00,aq_g5_120,hourly,72.221,0.0,0.0,airqo,36.25,36.25,27.72,27.72,"Ita Elewa Primary HealthCare Centre, Ikorodu",31.5815
2024-04-14 19:00:00,aq_g5_120,hourly,72.16333333333334,0.0,0.0,airqo,37.86,37.86,28.0,28.0,"Ita Elewa Primary HealthCare Centre, Ikorodu",31.34238095238096
2024-04-16 00:00:00,aq_g5_120,hourly,73.61857142857143,0.0,0.0,airqo,17.5,17.5,14.9,14.9,"Ita Elewa Primary HealthCare Centre, Ikorodu",32.75952380952381
2024-04-16 08:00:00,aq_g5_120,hourly,77.34125,0.0,0.0,airqo,59.48,,46.03,,"Ita Elewa Primary HealthCare Centre, Ikorodu",31.66
2024-04-16 10:00:00,aq_g5_120,hourly,69.72,0.0,0.0,airqo,33.82,,28.79,,"Ita Elewa Primary HealthCare Centre, Ikorodu",34.842
2024-04-16 19:00:00,aq_g5_120,hourly,72.29142857142858,0.0,0.0,airqo,26.37,26.06,22.92,20.8,"Ita Elewa Primary HealthCare Centre, Ikorodu",32.23619047619048
2024-04-16 20:00:00,aq_g5_120,hourly,74.50285714285714,0.0,0.0,airqo,27.97,27.97,21.91,21.91,"Ita Elewa Primary HealthCare Centre, Ikorodu",31.70285714285714
2024-04-17 02:00:00,aq_g5_120,hourly,78.34904761904761,0.0,0.0,airqo,53.74,,42.72,,"Ita Elewa Primary HealthCare Centre, Ikorodu",30.66333333333333
2024-04-17 06:00:00,aq_g5_120,hourly,78.30636363636364,0.0,0.0,airqo,28.14,,23.84,,"Ita Elewa Primary HealthCare Centre, Ikorodu",31.80636363636364
2024-04-22 12:00:00,aq_g5_120,hourly,48.19,0.0,0.0,airqo,26.41,,22.74,,"Ita Elewa Primary HealthCare Centre, Ikorodu",43.77
2024-04-22 13:00:00,aq_g5_120,hourly,51.147777777777776,0.0,0.0,airqo,12.21,,11.28,,"Ita Elewa Primary HealthCare Centre, Ikorodu",41.04111111111112
2024-04-22 14:00:00,aq_g5_120,hourly,54.124,0.0,0.0,airqo,12.21,,10.77,,"Ita Elewa Primary HealthCare Centre, Ikorodu",39.193
2024-04-22 15:00:00,aq_g5_120,hourly,54.35699999999999,0.0,0.0,airqo,10.59,,9.22,,"Ita Elewa Primary HealthCare Centre, Ikorodu",38.593
2024-04-22 16:00:00,aq_g5_120,hourly,57.592,0.0,0.0,airqo,10.32,11.94,8.78,12.71,"Ita Elewa Primary HealthCare Centre, Ikorodu",36.971
2024-04-22 17:00:00,aq_g5_120,hourly,63.88666666666667,0.0,0.0,airqo,11.97,,10.62,,"Ita Elewa Primary HealthCare Centre, Ikorodu",34.43333333333333
2024-04-22 18:00:00,aq_g5_120,hourly,68.846,0.0,0.0,airqo,15.82,,13.79,,"Ita Elewa Primary HealthCare Centre, Ikorodu",32.832
2024-04-23 05:00:00,aq_g5_120,hourly,86.72380952380952,0.0,0.0,airqo,9.99,4.23,8.73,10.83,"Ita Elewa Primary HealthCare Centre, Ikorodu",25.63571428571429
2024-04-23 10:00:00,aq_g5_120,hourly,80.16238095238096,0.0,0.0,airqo,51.5,23.19,42.37,17.96,"Ita Elewa Primary HealthCare Centre, Ikorodu",28.94761904761905
2024-04-23 19:00:00,aq_g5_120,hourly,71.52571428571429,0.0,0.0,airqo,36.52,30.47,30.15,24.56,"Ita Elewa Primary HealthCare Centre, Ikorodu",31.343333333333334
2024-04-23 21:00:00,aq_g5_120,hourly,73.98142857142857,0.0,0.0,airqo,44.13,44.13,36.29,36.29,"Ita Elewa Primary HealthCare Centre, Ikorodu",30.44333333333333
2024-04-23 23:00:00,aq_g5_120,hourly,76.56904761904762,0.0,0.0,airqo,46.91,41.19,38.24,33.11,"Ita Elewa Primary HealthCare Centre, Ikorodu",30.002857142857145
2024-04-24 19:00:00,aq_g5_120,hourly,69.04,0.0,0.0,airqo,7.61,,6.45,,"Ita Elewa Primary HealthCare Centre, Ikorodu",32.602105263157895
2024-04-25 06:00:00,aq_g5_120,hourly,77.80285714285714,0.0,0.0,airqo,39.99,,33.11,,"Ita Elewa Primary HealthCare Centre, Ikorodu",31.57428571428571
2024-04-25 21:00:00,aq_g5_120,hourly,70.14714285714287,0.0,0.0,airqo,11.95,,10.03,,"Ita Elewa Primary HealthCare Centre, Ikorodu",32.81809523809524
2024-04-26 06:00:00,aq_g5_120,hourly,74.64399999999999,0.0,0.0,airqo,44.84,36.4,37.08,26.31,"Ita Elewa Primary HealthCare Centre, Ikorodu",34.045
2024-04-26 19:00:00,aq_g5_120,hourly,69.328125,0.0,0.0,airqo,9.79,,8.43,,"Ita Elewa Primary HealthCare Centre, Ikorodu",33.83875
2024-04-27 06:00:00,aq_g5_120,hourly,75.67238095238095,0.0,0.0,airqo,31.52,31.52,24.54,24.54,"Ita Elewa Primary HealthCare Centre, Ikorodu",32.542857142857144
2024-04-27 08:00:00,aq_g5_120,hourly,69.26166666666667,0.0,0.0,airqo,49.98,41.52,40.1,33.52,"Ita Elewa Primary HealthCare Centre, Ikorodu",36.17055555555556
2024-04-27 19:00:00,aq_g5_120,hourly,70.82117647058824,0.0,0.0,airqo,12.95,,11.2,,"Ita Elewa Primary HealthCare Centre, Ikorodu",33.849411764705884
2024-04-28 00:00:00,aq_g5_120,hourly,73.52909090909091,0.0,0.0,airqo,1.15,1.15,11.39,11.39,"Ita Elewa Primary HealthCare Centre, Ikorodu",32.67454545454546
2024-04-28 06:00:00,aq_g5_120,hourly,74.17333333333333,0.0,0.0,airqo,23.53,,20.42,,"Ita Elewa Primary HealthCare Centre, Ikorodu",33.41285714285714
