datetime,device_name,frequency,humidity,latitude,longitude,network,pm10,pm10_calibrated_value,pm2_5,pm2_5_calibrated_value,site_name,temperature
2024-06-21 16:00:00,aq_g5_120,hourly,82.349,0.0,0.0,airqo,96.17,96.17,111.44,111.44,"Ita Elewa Primary HealthCare Centre, Ikorodu",28.47
2024-06-21 18:00:00,aq_g5_120,hourly,84.64666666666666,0.0,0.0,airqo,,,12.34,12.34,"Ita Elewa Primary HealthCare Centre, Ikorodu",27.418571428571425
2024-06-22 19:00:00,aq_g5_120,hourly,71.92476190476191,0.0,0.0,airqo,15.37,15.37,17.75,17.75,"Ita Elewa Primary HealthCare Centre, Ikorodu",31.673809523809524
2024-06-22 21:00:00,aq_g5_120,hourly,75.58761904761906,0.0,0.0,airqo,19.38,19.38,17.72,17.72,"Ita Elewa Primary HealthCare Centre, Ikorodu",30.624761904761904
2024-06-23 06:00:00,aq_g5_120,hourly,81.74333333333333,0.0,0.0,airqo,18.43,18.43,16.97,16.97,"Ita Elewa Primary HealthCare Centre, Ikorodu",30.22714285714285
2024-06-24 00:00:00,aq_g5_120,hourly,76.47571428571429,0.0,0.0,airqo,11.25,11.25,14.9,14.9,"Ita Elewa Primary HealthCare Centre, Ikorodu",29.88142857142857
2024-06-24 16:00:00,aq_g5_120,hourly,73.81545454545454,0.0,0.0,airqo,16.23,16.23,17.7,17.7,"Ita Elewa Primary HealthCare Centre, Ikorodu",31.035454545454545
2024-06-25 04:00:00,aq_g5_120,hourly,83.2005,0.0,0.0,airqo,41.51,41.51,35.5,35.5,"Ita Elewa Primary HealthCare Centre, Ikorodu",27.0905
2024-06-25 18:00:00,aq_g5_120,hourly,77.87,0.0,0.0,airqo,23.6,23.6,20.1,20.1,"Ita Elewa Primary HealthCare Centre, Ikorodu",29.96176470588236
2024-06-25 20:00:00,aq_g5_120,hourly,82.365,0.0,0.0,airqo,31.49,31.49,24.1,24.1,"Ita Elewa Primary HealthCare Centre, Ikorodu",28.84222222222222
2024-06-26 01:00:00,aq_g5_120,hourly,85.57727272727273,0.0,0.0,airqo,4.97,4.97,13.93,13.93,"Ita Elewa Primary HealthCare Centre, Ikorodu",26.68409090909091
2024-06-26 07:00:00,aq_g5_120,hourly,78.64777777777778,0.0,0.0,airqo,5.89,5.89,13.06,13.06,"Ita Elewa Primary HealthCare Centre, Ikorodu",31.78111111111112
2024-06-26 19:00:00,aq_g5_120,hourly,72.2595238095238,0.0,0.0,airqo,6.62,6.62,14.86,14.86,"Ita Elewa Primary HealthCare Centre, Ikorodu",29.14714285714286
2024-06-26 21:00:00,aq_g5_120,hourly,83.8059090909091,0.0,0.0,airqo,9.05,9.05,16.92,16.92,"Ita Elewa Primary HealthCare Centre, Ikorodu",26.509545454545457
2024-06-27 06:00:00,aq_g5_120,hourly,78.60904761904762,0.0,0.0,airqo,29.5,29.5,21.61,21.61,"Ita Elewa Primary HealthCare Centre, Ikorodu",26.88285714285714
2024-06-27 22:00:00,aq_g5_120,hourly,71.94238095238094,0.0,0.0,airqo,8.51,8.51,14.12,14.12,"Ita Elewa Primary HealthCare Centre, Ikorodu",29.670952380952382
2024-06-28 10:00:00,aq_g5_120,hourly,80.0085,0.0,0.0,airqo,32.07,32.07,24.33,24.33,"Ita Elewa Primary HealthCare Centre, Ikorodu",32.5235
2024-06-28 20:00:00,aq_g5_120,hourly,76.78666666666666,0.0,0.0,airqo,32.75,32.75,24.17,24.17,"Ita Elewa Primary HealthCare Centre, Ikorodu",30.13714285714285
2024-06-28 22:00:00,aq_g5_120,hourly,78.39666666666666,0.0,0.0,airqo,26.08,26.08,20.8,20.8,"Ita Elewa Primary HealthCare Centre, Ikorodu",29.76
2024-06-29 06:00:00,aq_g5_120,hourly,82.7195238095238,0.0,0.0,airqo,1.79,1.79,12.95,12.95,"Ita Elewa Primary HealthCare Centre, Ikorodu",27.295238095238098
2024-06-29 08:00:00,aq_g5_120,hourly,73.93190476190478,0.0,0.0,airqo,18.75,18.75,16.28,16.28,"Ita Elewa Primary HealthCare Centre, Ikorodu",33.518095238095235
2024-06-29 19:00:00,aq_g5_120,hourly,72.45476190476191,0.0,0.0,airqo,22.56,22.56,18.69,18.69,"Ita Elewa Primary HealthCare Centre, Ikorodu",30.761904761904763
2024-06-29 21:00:00,aq_g5_120,hourly,75.86,0.0,0.0,airqo,24.36,24.36,20.49,20.49,"Ita Elewa Primary HealthCare Centre, Ikorodu",29.79952380952381
2024-06-30 03:00:00,aq_g5_120,hourly,80.565625,0.0,0.0,airqo,28.84,28.84,23.29,23.29,"Ita Elewa Primary HealthCare Centre, Ikorodu",28.996875
2024-06-30 19:00:00,aq_g5_120,hourly,71.642,0.0,0.0,airqo,19.49,19.49,18.03,18.03,"Ita Elewa Primary HealthCare Centre, Ikorodu",31.187
2024-06-30 21:00:00,aq_g5_120,hourly,74.571875,0.0,0.0,airqo,21.23,21.23,17.78,17.78,"Ita Elewa Primary HealthCare Centre, Ikorodu",30.66
2024-06-21 08:00:00,aq_g5_118,hourly,69.4635,0.0,0.0,airqo,30.41,30.41,20.89,20.89,"NIMR, Yaba, Lagos, Nigeria",32.5855
2024-06-21 19:00:00,aq_g5_118,hourly,82.7015,0.0,0.0,airqo,33.86,33.86,25.08,25.08,"NIMR, Yaba, Lagos, Nigeria",27.259
2024-06-22 00:00:00,aq_g5_118,hourly,80.82136363636363,0.0,0.0,airqo,26.84,26.84,19.91,19.91,"NIMR, Yaba, Lagos, Nigeria",28.082272727272724
2024-06-22 02:00:00,aq_g5_118,hourly,80.983,0.0,0.0,airqo,60.53,60.53,48.59,48.59,"NIMR, Yaba, Lagos, Nigeria",28.137
2024-06-21 08:00:00,aq_g5_119,hourly,72.34894736842107,0.0,0.0,airqo,26.08,26.08,17.56,17.56,Oshodi lagos,32.520526315789475
