datetime,device_name,frequency,humidity,latitude,longitude,network,pm10,pm10_calibrated_value,pm2_5,pm2_5_calibrated_value,site_name,temperature
2025-03-01 00:00:00,aq_g5_118,hourly,70.32000000000001,6.51238,3.367,airqo,39.5,39.5,31.21,31.21,"NIMR, Yaba, Lagos, Nigeria",33.7174358974359
2025-03-01 01:00:00,aq_g5_118,hourly,70.62052631578948,6.51238,3.367,airqo,39.44,39.44,31.36,31.36,"NIMR, Yaba, Lagos, Nigeria",33.37368421052635
2025-03-01 02:00:00,aq_g5_118,hourly,70.32909090909087,6.51238,3.367,airqo,34.0,34.0,23.01,23.01,"NIMR, Yaba, Lagos, Nigeria",33.49409090909088
2025-03-01 08:00:00,aq_g5_118,hourly,66.40363636363635,6.51238,3.367,airqo,41.89,41.89,31.6,31.6,"NIMR, Yaba, Lagos, Nigeria",35.47090909090909
2025-03-01 09:00:00,aq_g5_118,hourly,63.49421052631579,6.51238,3.367,airqo,39.17,39.17,26.39,26.39,"NIMR, Yaba, Lagos, Nigeria",35.63315789473685
2025-03-01 10:00:00,aq_g5_118,hourly,53.958,6.51238,3.367,airqo,44.92,44.92,31.59,31.59,"NIMR, Yaba, Lagos, Nigeria",39.53300000000002
2025-03-01 11:00:00,aq_g5_118,hourly,50.90210526315791,6.51238,3.367,airqo,45.99,45.99,30.9,30.9,"NIMR, Yaba, Lagos, Nigeria",40.32368421052634
2025-03-01 12:00:00,aq_g5_118,hourly,51.66034482758619,6.51238,3.367,airqo,35.3,35.3,23.33,23.33,"NIMR, Yaba, Lagos, Nigeria",39.930000000000014
2025-03-01 13:00:00,aq_g5_118,hourly,47.289047619047615,6.51238,3.367,airqo,32.05,32.05,17.89,17.89,"NIMR, Yaba, Lagos, Nigeria",42.19952380952381
2025-03-01 14:00:00,aq_g5_118,hourly,48.361,6.51238,3.367,airqo,30.95,30.95,17.06,17.06,"NIMR, Yaba, Lagos, Nigeria",41.859
2025-03-01 15:00:00,aq_g5_118,hourly,50.27571428571429,6.51238,3.367,airqo,27.91,27.91,17.14,17.14,"NIMR, Yaba, Lagos, Nigeria",41.1138095238095
2025-03-01 16:00:00,aq_g5_118,hourly,54.282,6.51238,3.367,airqo,27.24,27.24,15.69,15.69,"NIMR, Yaba, Lagos, Nigeria",38.964000000000006
2025-03-01 17:00:00,aq_g5_118,hourly,61.456756756756754,6.51238,3.367,airqo,25.6,25.6,17.03,17.03,"NIMR, Yaba, Lagos, Nigeria",36.48702702702704
2025-03-01 18:00:00,aq_g5_118,hourly,67.49131578947369,6.51238,3.367,airqo,29.11,29.11,20.44,20.44,"NIMR, Yaba, Lagos, Nigeria",34.461052631578944
2025-03-01 19:00:00,aq_g5_118,hourly,67.64263157894734,6.51238,3.367,airqo,27.21,27.21,19.13,19.13,"NIMR, Yaba, Lagos, Nigeria",34.25342105263156
2025-03-01 20:00:00,aq_g5_118,hourly,67.96307692307691,6.51238,3.367,airqo,29.33,29.33,20.07,20.07,"NIMR, Yaba, Lagos, Nigeria",34.19128205128204
2025-03-01 21:00:00,aq_g5_118,hourly,68.32410256410256,6.51238,3.367,airqo,25.92,25.92,16.18,16.18,"NIMR, Yaba, Lagos, Nigeria",34.10717948717948
2025-03-01 22:00:00,aq_g5_118,hourly,68.58789473684209,6.51238,3.367,airqo,22.91,22.91,15.52,15.52,"NIMR, Yaba, Lagos, Nigeria",33.970789473684206
2025-03-01 23:00:00,aq_g5_118,hourly,68.95461538461541,6.51238,3.367,airqo,25.54,25.54,16.25,16.25,"NIMR, Yaba, Lagos, Nigeria",33.82205128205129
2025-03-02 00:00:00,aq_g5_118,hourly,68.84461538461541,6.51238,3.367,airqo,68.46,68.46,62.42,62.42,"NIMR, Yaba, Lagos, Nigeria",33.72
2025-03-02 01:00:00,aq_g5_118,hourly,67.81435897435901,6.51238,3.367,airqo,91.74,91.74,61.25,61.25,"NIMR, Yaba, Lagos, Nigeria",33.76307692307693
2025-03-02 02:00:00,aq_g5_118,hourly,67.71499999999999,6.51238,3.367,airqo,38.86,38.86,19.84,19.84,"NIMR, Yaba, Lagos, Nigeria",33.755526315789474
2025-03-02 03:00:00,aq_g5_118,hourly,67.21000000000002,6.51238,3.367,airqo,24.53,24.53,17.98,17.98,"NIMR, Yaba, Lagos, Nigeria",33.785
2025-03-02 08:00:00,aq_g5_118,hourly,66.2205882352941,6.51238,3.367,airqo,23.91,23.91,17.57,17.57,"NIMR, Yaba, Lagos, Nigeria",34.61882352941176
