datetime,device_name,frequency,humidity,latitude,longitude,network,pm10,pm2_5,site_name,temperature
2025-07-01 07:00:00,aq_g5_120,hourly,82.73562500000001,6.61498,3.50602,airqo,10.14,,"Ita Elewa Primary HealthCare Centre, Ikorodu",29.16875
2025-07-01 08:00:00,aq_g5_120,hourly,75.67444444444445,6.61498,3.50602,airqo,5.0,,"Ita Elewa Primary HealthCare Centre, Ikorodu",32.57666666666667
2025-07-01 16:00:00,aq_g5_120,hourly,61.97,6.61498,3.50602,airqo,14.91,,"Ita Elewa Primary HealthCare Centre, Ikorodu",33.74
2025-07-01 17:00:00,aq_g5_120,hourly,66.54,6.61498,3.50602,airqo,33.98,,"Ita Elewa Primary HealthCare Centre, Ikorodu",31.94
2025-07-01 18:00:00,aq_g5_120,hourly,71.21562500000002,6.61498,3.50602,airqo,31.9,,"Ita Elewa Primary HealthCare Centre, Ikorodu",30.076875
2025-07-01 19:00:00,aq_g5_120,hourly,72.90666666666667,6.61498,3.50602,airqo,32.35,,"Ita Elewa Primary HealthCare Centre, Ikorodu",30.094
2025-07-01 20:00:00,aq_g5_120,hourly,73.825,6.61498,3.50602,airqo,68.77,,"Ita Elewa Primary HealthCare Centre, Ikorodu",29.624166666666667
2025-07-01 21:00:00,aq_g5_120,hourly,74.22199999999998,6.61498,3.50602,airqo,46.23,,"Ita Elewa Primary HealthCare Centre, Ikorodu",29.687500000000004
2025-07-01 22:00:00,aq_g5_120,hourly,74.93842105263155,6.61498,3.50602,airqo,14.92,,"Ita Elewa Primary HealthCare Centre, Ikorodu",29.376315789473683
2025-07-01 23:00:00,aq_g5_120,hourly,75.16900000000001,6.61498,3.50602,airqo,27.34,,"Ita Elewa Primary HealthCare Centre, Ikorodu",29.462
2025-07-02 00:00:00,aq_g5_120,hourly,76.01578947368421,6.61498,3.50602,airqo,21.22,,"Ita Elewa Primary HealthCare Centre, Ikorodu",28.96052631578948
2025-07-02 01:00:00,aq_g5_120,hourly,77.2525,6.61498,3.50602,airqo,19.17,,"Ita Elewa Primary HealthCare Centre, Ikorodu",28.683
2025-07-02 02:00:00,aq_g5_120,hourly,77.6045,6.61498,3.50602,airqo,50.48,,"Ita Elewa Primary HealthCare Centre, Ikorodu",28.665
2025-07-02 03:00:00,aq_g5_120,hourly,78.62666666666667,6.61498,3.50602,airqo,68.39,,"Ita Elewa Primary HealthCare Centre, Ikorodu",28.225333333333328
2025-07-02 07:00:00,aq_g5_120,hourly,76.691,6.61498,3.50602,airqo,8.1,,"Ita Elewa Primary HealthCare Centre, Ikorodu",30.667
2025-07-02 08:00:00,aq_g5_120,hourly,70.97749999999999,6.61498,3.50602,airqo,58.8,,"Ita Elewa Primary HealthCare Centre, Ikorodu",32.915
2025-07-02 09:00:00,aq_g5_120,hourly,62.612,6.61498,3.50602,airqo,12.05,,"Ita Elewa Primary HealthCare Centre, Ikorodu",36.287000000000006
2025-07-02 10:00:00,aq_g5_120,hourly,61.706,6.61498,3.50602,airqo,24.39,,"Ita Elewa Primary HealthCare Centre, Ikorodu",35.767
2025-07-02 11:00:00,aq_g5_120,hourly,62.512,6.61498,3.50602,airqo,21.54,,"Ita Elewa Primary HealthCare Centre, Ikorodu",34.795
